Datetime,Close,High,Low,Open,Volume
2024-12-30 14:30:00+00:00,197.8000030517578,198.0,197.39999389648438,198.0,17075
2024-12-30 14:32:00+00:00,197.25,197.9499969482422,197.25,197.9499969482422,5514
2024-12-30 14:34:00+00:00,197.1699981689453,197.17999267578125,196.80999755859375,197.11000061035156,6389
2024-12-30 14:36:00+00:00,197.1999969482422,197.31500244140625,196.86819458007812,197.24000549316406,5497
2024-12-30 14:38:00+00:00,197.6300048828125,197.6300048828125,197.00999450683594,197.00999450683594,2106
2024-12-30 14:40:00+00:00,197.58999633789062,197.60000610351562,197.25,197.60000610351562,1705
2024-12-30 14:42:00+00:00,197.2550048828125,197.53590393066406,197.22000122070312,197.47999572753906,6499
2024-12-30 14:44:00+00:00,197.1699981689453,197.58999633789062,197.1699981689453,197.32000732421875,3100
2024-12-30 14:46:00+00:00,197.16000366210938,197.1699981689453,197.10000610351562,197.15499877929688,4861
2024-12-30 14:48:00+00:00,197.08999633789062,197.10000610351562,197.08999633789062,197.10000610351562,9909
2024-12-30 14:50:00+00:00,197.3300018310547,197.3300018310547,197.10000610351562,197.10000610351562,3386
2024-12-30 14:52:00+00:00,196.88999938964844,197.1699981689453,196.88999938964844,197.1699981689453,4153
2024-12-30 14:54:00+00:00,197.00999450683594,197.00999450683594,196.78500366210938,196.78500366210938,2742
2024-12-30 14:56:00+00:00,196.66000366210938,197.00999450683594,196.64999389648438,197.00999450683594,1209
2024-12-30 14:58:00+00:00,196.69000244140625,196.72999572753906,196.65499877929688,196.72999572753906,1023
2024-12-30 15:00:00+00:00,196.5,196.71499633789062,196.5,196.71499633789062,5119
2024-12-30 15:02:00+00:00,196.34320068359375,196.77000427246094,196.13999938964844,196.6199951171875,5382
2024-12-30 15:04:00+00:00,196.1580047607422,196.5,196.1452178955078,196.2899932861328,3042
2024-12-30 15:06:00+00:00,196.31500244140625,196.47999572753906,196.15919494628906,196.15919494628906,1323
2024-12-30 15:08:00+00:00,196.24000549316406,196.375,196.24000549316406,196.31500244140625,3101
2024-12-30 15:10:00+00:00,196.04989624023438,196.17889404296875,195.85000610351562,196.0800018310547,3189
2024-12-30 15:12:00+00:00,196.02000427246094,196.02000427246094,195.9600067138672,195.96499633789062,3710
2024-12-30 15:14:00+00:00,195.94000244140625,195.94000244140625,195.90499877929688,195.90499877929688,1438
2024-12-30 15:16:00+00:00,195.8000030517578,195.9600067138672,195.8000030517578,195.9600067138672,3325
2024-12-30 15:18:00+00:00,195.75,195.77000427246094,195.74000549316406,195.74000549316406,1657
2024-12-30 15:20:00+00:00,195.61000061035156,195.84759521484375,195.61000061035156,195.7899932861328,2030
2024-12-30 15:22:00+00:00,195.6999969482422,195.85989379882812,195.6999969482422,195.85989379882812,848
2024-12-30 15:24:00+00:00,195.968994140625,195.968994140625,195.6199951171875,195.83999633789062,4196
2024-12-30 15:26:00+00:00,195.73500061035156,195.93899536132812,195.67999267578125,195.75999450683594,1144
2024-12-30 15:28:00+00:00,195.8000030517578,195.88999938964844,195.72000122070312,195.74000549316406,1713
2024-12-30 15:30:00+00:00,195.6999969482422,196.0,195.6999969482422,195.94000244140625,5478
2024-12-30 15:32:00+00:00,195.8300018310547,195.8300018310547,195.76499938964844,195.76499938964844,835
2024-12-30 15:34:00+00:00,195.76499938964844,195.76499938964844,195.76499938964844,195.76499938964844,1261
